rank   rating    name
    1  0.887917  F4n14sy
    2  0.868872  Lapis_Lettuce
    3  0.866496  sodasoker
    4  0.833992  5h1zuy4
    5  0.814256  Makkuusen
    6  0.798984  _Hutspot
    7  0.782241  oinkd
    8  0.780545  2818
    9  0.767117  LudoFax
   10  0.756002  zeen_zoom
   11  0.736251  purple_toki
   12  0.731198  Pigalala
   13  0.728536  Renokas1
   14  0.723812  Rocket_Raze
   15  0.710972  captain_craftyz
   16  0.710767  MisterGG_
   17  0.710625  Bip_q
   18  0.707440  NidoThe1st
   19  0.703192  TecknoGustav
   20  0.675042  Sotumney
   21  0.673075  _Ozon3_
   22  0.670972  LegendaryA7
   23  0.670371  CTCuberHD
   24  0.669609  Kwaszor
   25  0.655726  AlesandroDeMoor
   26  0.651048  Demonatic
   27  0.650056  AntonioYes
   28  0.649692  32Jeelow
   29  0.648781  JollyTheDuck
   30  0.648616  Allttro
   31  0.647341  EvilScientist
   32  0.645402  ElSacoDePapas
   33  0.628928  The_Lasersloth
   34  0.625791  EchoEvo
   35  0.622780  Mariana52
   36  0.620979  Bluleader64
   37  0.618899  aolt
   38  0.615783  CaptainNoah07
   39  0.611889  ThatWall2683
   40  0.611759  Ptown16
   41  0.607069  Yukari_Yakumo
   42  0.601996  lerssikala
   43  0.595811  _Midnite
   44  0.594479  mafi0z0
   45  0.589205  KyururunTime
   46  0.584641  lmaobox69
   47  0.580765  TechnoGustav
   48  0.580020  PaperYoshii
   49  0.577679  Comfy_Vibes
   50  0.577367  JP77_
   51  0.571388  rozlos
   52  0.555309  0x26e
   53  0.552800  OnsHuts
   54  0.541625  crispy_photo
   55  0.540531  Dylqn
   56  0.539991  MightyCreative
   57  0.529163  Dogska
   58  0.525670  BedN
   59  0.514863  Pa6k
   60  0.512529  ZeqroW
   61  0.504807  VariMystery
   62  0.500648  deathkills
   63  0.498166  AvatarAa
   64  0.497199  OmegaMiZ
   65  0.494983  Pegr
   66  0.491374  AdamsApples
   67  0.488616  Chad_Bonogees
   68  0.486290  Andreybork
   69  0.480589  GregSaysNo
   70  0.476160  32Nova
   71  0.472406  Juge0_0
   72  0.467674  sjonniegames
   73  0.467452  Jmody13
   74  0.460339  BaltikaDevyatka_
   75  0.460152  NaviGHG
   76  0.456844  ybe210
   77  0.456589  Brekiii
   78  0.455496  PringoIsCool
   79  0.454946  mindcrime_
   80  0.440972  nvxa
   81  0.438908  XNotVIPX
   82  0.436801  Uzochia
   83  0.436742  OiledUp_FeetPics
   84  0.435041  BlipDash
   85  0.433618  IltisAmor
   86  0.429120  sab2003
   87  0.427060  Pana_64
   88  0.426973  Tekad_
   89  0.423843  Snowy893
   90  0.423800  Lurik13
   91  0.422435  luckyw0lf
   92  0.420765  GlitchTM
   93  0.419950  murtan
   94  0.417442  ikonos33
   95  0.416011  ohiokat
   96  0.414670  2_Soon_
   97  0.408358  Mateuszbre161
   98  0.406461  JonhyStonePT
   99  0.406190  NewKiddo_
  100  0.401621  ThatGenericDude
  101  0.395933  A_Tomy_121
  102  0.393601  TheReal6yrypT
  103  0.391295  MarsCitadel
  104  0.388531  FatihAr
  105  0.386975  Asherhn
  106  0.386562  ZukZnilu
  107  0.385634  localhackerman
  108  0.378016  skipsnuf
  109  0.377105  Criscero
  110  0.374367  Svechy
  111  0.372070  Onidalas
  112  0.370663  Eternal_Wind
