rank   rating    name
    1  0.818811  purple_toki
    2  0.806030  Lapis_Lettuce
    3  0.805301  sodasoker
    4  0.771414  _Hutspot
    5  0.748849  oinkd
    6  0.735711  Rocket_Raze
    7  0.721346  zeen_zoom
    8  0.715575  F4n14sy
    9  0.712834  2818
   10  0.703109  Makkuusen
   11  0.696672  32Jeelow
   12  0.685003  NidoThe1st
   13  0.680633  Bip_q
   14  0.674854  5h1zuy4
   15  0.650671  ElSacoDePapas
   16  0.645672  LegendaryA7
   17  0.632816  AntonioYes
   18  0.630990  KrumKat
   19  0.621827  _Ozon3_
   20  0.620076  LudoFax
   21  0.615219  Bluleader64
   22  0.614260  MightyCreative
   23  0.611556  Sotumney
   24  0.611303  PaperYoshii
   25  0.603790  captain_craftyz
   26  0.578270  Renokas1
   27  0.571546  CTCuberHD
   28  0.561143  Criscero
   29  0.557488  BlipDash
   30  0.551848  CaptainNoah07
   31  0.551396  Allttro
   32  0.550844  Demonatic
   33  0.542567  ThatWall2683
   34  0.535681  TechnoGustav
   35  0.534855  IltisAmor
   36  0.533634  MisterGG_
   37  0.533499  Dogska
   38  0.529353  _Midnite
   39  0.525637  lerssikala
   40  0.524291  Comfy_Vibes
   41  0.521843  EchoEvo
   42  0.519311  NewKiddo_
   43  0.516389  TecknoGustav
   44  0.516143  AdamsApples
   45  0.516042  The_Lasersloth
   46  0.515242  thelifenEtWork
   47  0.515183  Pigalala
   48  0.513014  Ptown16
   49  0.497215  Killerlol420
   50  0.495987  Eternal_Wind
   51  0.495731  mindcrime_
   52  0.490128  SamH3X
   53  0.487196  LargePoops
   54  0.483932  Chad_Bonogees
   55  0.483730  Lurik13
   56  0.479345  CyanFlowers
   57  0.478625  Kwaszor
   58  0.472139  GaberLive
   59  0.469290  mafi0z0
   60  0.463825  OmegaMiZ
   61  0.454987  oKazuh
   62  0.447981  nvxa
   63  0.441424  Storm_Ragez
   64  0.440287  Hovarii
   65  0.439301  Brekiii
   66  0.439043  JollyTheDuck
   67  0.436792  murtan
   68  0.434835  PoulainModele
   69  0.431171  nemamradwindows
   70  0.430865  FatihAr
   71  0.424015  Frosted_Flakes62
   72  0.422645  crispy_photo
   73  0.415436  BoltDaPotato
   74  0.413203  EvilScientist
   75  0.408823  sjonniegames
   76  0.394976  prioritea
   77  0.389580  PringoIsCool
   78  0.385140  Andreybork
   79  0.383144  AlesandroDeMoor
   80  0.380446  OiledUp_FeetPics
   81  0.380328  Xerveus
   82  0.379767  Fancylotl
   83  0.375201  Aurelianus
   84  0.373673  juliencoolsmom
   85  0.366929  lmaobox69
   86  0.363826  WeeIsaW
   87  0.363023  32Nova
   88  0.359998  Silad
   89  0.357379  EmilyBeNormal
   90  0.355559  Svechy
   91  0.353642  Phillonoo
   92  0.352341  StinkySoxx
   93  0.351870  Juge0_0
   94  0.350753  Jelesha
   95  0.350690  ybe210
   96  0.349622  nauz_
   97  0.347485  sab2003
   98  0.346944  vibesnek
   99  0.345936  NxtSimonupd
  100  0.345537  Tekad_
  101  0.344198  GregSaysNo
  102  0.341431  0x26e
  103  0.337254  NaviGHG
  104  0.334722  jooooooj
  105  0.333726  CastleBricks20
  106  0.333273  JP77_
  107  0.326089  yui_wii
  108  0.325729  Cavesmith
  109  0.324775  OnsHuts
  110  0.324048  Kathathum
  111  0.321521  NopeyBoi
  112  0.314774  ohiokat
  113  0.314484  GlitchTM
  114  0.310811  __MoonFire__
  115  0.308046  blobfish42
  116  0.304912  Mariana52
  117  0.303181  FerrariF15
  118  0.302710  AK5__
  119  0.301747  Mrfolder_
  120  0.298888  Onidalas
  121  0.296581  JJJT
  122  0.294451  akbh
  123  0.292551  Anthrox14
  124  0.290576  Verlio_H
  125  0.287125  MaybeOogway
  126  0.286814  etherrnal
  127  0.286020  Clemalb_
  128  0.285128  aolt
  129  0.283862  hydriel
  130  0.279684  ImAwsum
  131  0.276834  Suraj_Desaram
  132  0.274435  MacFarout
  133  0.271122  luckyw0lf
  134  0.269866  Moutxrdos
  135  0.269154  _zMrk_
  136  0.268824  Gaake_
  137  0.265892  noiraka
  138  0.265422  Thom_11
  139  0.263970  Jmody13
  140  0.262264  kinoryu
  141  0.261411  Walltuh_
  142  0.260237  MiniVR
  143  0.259969  CoolPink1271
  144  0.258381  SkeppyLoser
  145  0.257436  sk1te
  146  0.256657  Samusel03
  147  0.254217  localhackerman
  148  0.254023  NAIRB7002
  149  0.252348  P4RKOUR
  150  0.251990  SonicG4mer
  151  0.249838  _Beertje
  152  0.248717  BreakGraze
  153  0.245079  LamineOwnsENG
  154  0.243237  Tomsco_
  155  0.242788  planeplaneplane
  156  0.242074  hardfrog
  157  0.241264  Maximus21700
  158  0.240911  justairless
  159  0.240625  BritishBoi2581
  160  0.238622  BedN
  161  0.237861  sam3192
  162  0.235714  911rs
  163  0.233336  _topaz
  164  0.231768  skipsnuf
  165  0.230451  X_mpr
  166  0.229986  ElroNdForWin
  167  0.229827  Charismatix
  168  0.227604  Spork10
  169  0.227410  aescra
  170  0.226772  Evolver54
  171  0.224440  Klariaon
  172  0.224059  Outdoorsman076
  173  0.222862  HARRYPiZZA123
  174  0.221791  __R0gue__
  175  0.221199  ItzShiba
  176  0.221190  notnowa
  177  0.219722  boxver
  178  0.218483  francisfugle
  179  0.218122  OrangeFantaKid
  180  0.217845  Theflamingsouls
  181  0.217768  M3FF1N
  182  0.217361  dukeoflag
  183  0.217238  Swets_clan
  184  0.216787  Hmufin
  185  0.216243  Snoae
  186  0.215924  baconsauce9
  187  0.215536  GrayWasp
  188  0.215305  GaryDoge
  189  0.214807  _Koldun_
  190  0.210908  Whalery
  191  0.210846  WorseAim
  192  0.210425  DU8L1N
  193  0.209625  analog07
  194  0.208524  BoshyWashy
  195  0.208503  Racequaza
  196  0.208278  SkyePK
  197  0.207306  Omeega_
  198  0.207016  HockeySav05
  199  0.206552  Bagelz_
  200  0.206131  M1l0k0
  201  0.203562  Rovoni_
  202  0.202973  Aracnedix
  203  0.202833  SixtenBau
  204  0.202418  blackear
  205  0.201548  sandor87
  206  0.200635  qwerty4o4
  207  0.200057  JonTheCopycat
  208  0.199532  G0ldleader22
  209  0.199288  CaptainBoudine
  210  0.199192  Akyyy
  211  0.198846  Pyro_Pike
  212  0.198703  Vavou45
  213  0.198534  chocolatemine7
  214  0.198277  Villumlyn
  215  0.197646  Big_Boi_Philip
  216  0.197644  Irongo
  217  0.197616  4x3x2
  218  0.197136  wingsoffire27
  219  0.196730  G3HA
  220  0.196672  VorjekS
  221  0.193402  Snowy893
  222  0.190736  BannanaMan78
  223  0.186912  Salteora
  224  0.186784  Ombaba68
  225  0.186543  Eallyos
  226  0.186074  the_Martjoker
  227  0.184313  Artin0123
  228  0.184275  Zenith1207
  229  0.183579  Klingac
  230  0.183385  Moosha
  231  0.183191  FuzyGamer0821
  232  0.182319  E_ple
  233  0.181510  Killerwarriorboy
  234  0.180505  Pana_64
  235  0.180257  TheFlamingSword
  236  0.179924  ikonos33
  237  0.179330  samuraii_
  238  0.178336  geralddddddd
  239  0.177744  WaterproofTurtle
  240  0.177118  ThiccTom25
  241  0.176054  EASTFAST
  242  0.175544  Herag0n
  243  0.175370  Lost_guppy
  244  0.174359  ninlego
  245  0.173685  Yashi18
  246  0.173139  SHeep003
  247  0.173119  MiniMCC
  248  0.172233  Tircis
  249  0.171809  Candynium
  250  0.171773  Kermitt__
  251  0.171325  od_racir
  252  0.170748  2_Soon_
  253  0.170396  Barnesy12
  254  0.169860  Phantonormia
  255  0.169788  Prqwn
  256  0.169592  Totomas15
